Bilardello, Dann	Montreal	                        191  37   4  12  17  14   4  773 163  16  61  74  52National	East	C	               391  38   8    .   
Boston, Daryl	Chicago	                            199  53   5  29  22  21   3  514 120   8  57  40  39American	West	CF	              152   3   5  75.000
Coles, Darnell	Detroit	                           521 142  20  67  86  45   4  815 205  22  99 103  78American	East	3B	              107 242  23 105.000
Collins, Dave	Detroit	                            419 113   1  44  27  44  12 44841231  32 612 344 422American	East	LF	              211   2   1    .   
Concepcion, Dave	Cincinnati	                      311  81   3  42  30  26  17 82472198 100 950 909 690National	West	UT	              153 223  10 320.000
Daulton, Darren	Philadelphia	                     138  31   8  18  21  38   3  244  53  12  33  32  55National	East	C	               244  21   4    .   
DeCinces, Doug	California	                        512 131  26  69  96  52  14 53471397 221 712 815 548American	West	3B	              119 216  12 850.000
Evans, Darrell	Detroit	                           507 122  29  78  85  91  18 77611947 347117511521380American	East	1B	              808 108   2 535.000
Evans, Dwight	Boston	                             529 137  26  86  97  97  15 66611785 2911082 949 989American	East	RF	              280  10   5 933.333
Garcia, Damaso	Toronto	                           424 119   6  57  46  13   9 36511046  32 461 301 112American	East	2B	              224 286   8 850.000
Gladden, Dan	San Francisco	                       351  97   4  55  29  39   4 1258 353  16 196 110 117National	West	CF	              226   7   3 210.000
Heep, Danny	New York	                             195  55   5  24  33  30   8 1313 338  25 144 149 153National	East	OF	               83   2   1    .   
Henderson, Dave	Seattle	                          388 103  15  59  47  39   6 2174 555  80 285 274 186American	West	OF	              182   9   4 325.000
Hill, Donnie	Oakland	                             339  96   4  37  29  23   4 1064 290  11 123 108  55American	West	23	              104 213   9 275.000
Kingman, Dave	Oakland	                            561 118  35  70  94  33  16 66771575 442 9011210 608American	West	DH	              463  32   8    .   
Lopes, Davey	Chicago	                             255  70   7  49  35  43  15 63111661 1541019 608 820National	East	3O	               51  54   8 450.000
Mattingly, Don	New York	                          677 238  31 117 113  53   5 2223 737  93 349 401 171American	East	1B	             1377 100   61975.000
Motley, Darryl	Kansas City	                       227  46   7  23  20  12   5 1325 324  44 156 158  67American	West	RF	               92   2   2    .   
Murphy, Dale	Atlanta	                             614 163  29  89  83  75  11 50171388 266 813 822 617National	West	CF	              303   6   61900.000
Murphy, Dwayne	Oakland	                           329  83   9  50  39  56   9 3828 948 145 575 528 635American	West	CF	              276   6   2 600.000
Parker, Dave	Cincinnati	                          637 174  31  89 116  56  14 67272024 247 9781093 495National	West	RF	              278   9   91041.667
Pasqua, Dan	New York	                             280  82  16  44  45  47   2  428 113  25  61  70  63American	East	LF	              148   4   2 110.000
Porter, Darrell	Texas	                            155  41  12  21  29  22  16 54091338 181 746 805 875American	West	CD	              165   9   1 260.000
Schofield, Dick	California	                       458 114  13  67  57  48   4 1350 298  28 160 123 122American	West	SS	              246 389  18 475.000
Slaught, Don	Texas	                               314  83  13  39  46  16   5 1457 405  28 156 159  76American	West	C	               533  40   4 431.500
Strawberry, Darryl	New York	                      475 123  27  76  93  72   4 1810 471 108 292 343 267National	East	RF	              226  10   61220.000
Sveum, Dale	Milwaukee	                            317  78   7  35  35  32   1  317  78   7  35  35  32American	East	3B	               45 122  26  70.000
Tartabull, Danny	Seattle	                         511 138  25  76  96  61   3  592 164  28  87 110  71American	West	RF	              157   7   8 145.000
Thon, Dickie	Houston	                             278  69   3  24  21  29   8 2079 565  32 258 192 162National	West	SS	              142 210  10    .   
Walling, Denny	Houston	                           382 119  13  54  58  36  12 2133 594  41 287 294 227National	West	3B	               59 156   9 595.000
Winfield, Dave	New York	                          565 148  24  90 104  77  14 72872083 30511351234 791American	East	RF	              292   9   51861.460
Cabell, Enos	Los Angeles	                         277  71   2  27  29  14  15 59521647  60 753 596 259National	West	1B	              360  32   5    .   
Davis, Eric	Cincinnati	                           415 115  27  97  71  68   3  711 184  45 156 119  99National	West	LF	              274   2   7 300.000
Milner, Eddie	Cincinnati	                         424 110  15  70  47  36   7 2130 544  38 335 174 258National	West	CF	              292   6   3 490.000
Murray, Eddie	Baltimore	                          495 151  17  61  84  78  10 56241679 275 8841015 709American	East	1B	             1045  88  132460.000
Riles, Ernest	Milwaukee	                          524 132   9  69  47  54   2  972 260  14 123  92  90American	East	SS	              212 327  20    .   
Romero, Ed	Boston	                                233  49   2  41  23  18   8 1350 336   7 166 122 106American	East	SS	              102 132  10 375.000
Whitt, Ernie	Toronto	                             395 106  16  48  56  35  10 2303 571  86 266 323 248American	East	C	               709  41   7    .   
Lynn, Fred	Baltimore	                             397 114  23  67  67  53  13 55891632 241 906 926 716American	East	CF	              244   2   4    .   
Rayford, Floyd	Baltimore	                         210  37   8  15  19  15   6  994 244  36 107 114  53American	East	3B	               40 115  15    .   
Stubbs, Franklin	Los Angeles	                     420  95  23  55  58  37   3  646 139  31  77  77  61National	West	LF	              206  10   7    .   
White, Frank	Kansas City	                         566 154  22  76  84  43  14 61001583 131 743 693 300American	West	2B	              316 439  10 750.000
Bell, George	Toronto	                             641 198  31 101 108  41   5 2129 610  92 297 319 117American	East	LF	              269  17  101175.000
Braggs, Glenn	Milwaukee	                          215  51   4  19  18  11   1  215  51   4  19  18  11American	East	LF	              116   5  12  70.000
Brett, George	Kansas City	                        441 128  16  70  73  80  14 66752095 20910721050 695American	West	3B	               97 218  161500.000
Brock, Greg	Los Angeles	                          325  76  16  33  52  37   5 1506 351  71 195 219 214National	West	1B	              726  87   3 385.000
Carter, Gary	New York	                            490 125  24  81 105  62  13 60631646 271 847 999 680National	East	C	               869  62   81925.571
Davis, Glenn	Houston	                             574 152  31  91 101  64   3  985 260  53 148 173  95National	West	1B	             1253 111  11 215.000
Foster, George	New York	                          284  64  14  30  42  24  18 70231925 348 9861239 666National	East	LF	               96   4   4    .   
Gaetti, Gary	Minneapolis	                         596 171  34  91 108  52   6 2862 728 107 361 401 224American	West	3B	              118 334  21 900.000
Gagne, Greg	Minneapolis	                          472 118  12  63  54  30   4  793 187  14 102  80  50American	West	SS	              228 377  26 155.000
Hendrick, George	California	                      283  77  14  45  47  26  16 68401910 259 9151067 546American	West	OF	              144   6   5 700.000
Hubbard, Glenn	Atlanta	                           408  94   4  42  36  66   9 3573 866  59 429 365 410National	West	2B	              282 487  19 535.000
Iorg, Garth	Toronto	                              327  85   3  30  44  20   8 2140 568  16 216 208  93American	East	32	               91 185  12 362.500
Matthews, Gary	Chicago	                           370  96  21  49  46  60  15 69861972 2311070 955 921National	East	LF	              137   5   9 733.333
Nettles, Graig	San Diego	                         354  77  16  36  55  41  20 87162172 384117212671057National	West	3B	               83 174  16 200.000
Pettis, Gary	California	                          539 139   5  93  58  69   5 1469 369  12 247 126 198American	West	CF	              462   9   7 400.000
Redus, Gary	Philadelphia	                         340  84  11  62  33  47   5 1516 376  42 284 141 219National	East	LF	              185   8   4 400.000
Templeton, Garry	San Diego	                       510 126   2  42  44  35  11 55621578  44 703 519 256National	West	SS	              207 358  20 737.500
Thomas, Gorman	Seattle	                           315  59  16  45  36  58  13 46771051 268 681 782 697American	West	DH	                0   0   0    .   
Walker, Greg	Chicago	                             282  78  13  37  51  29   5 1649 453  73 211 280 138American	West	1B	              670  57   5 500.000
Ward, Gary	Texas	                                 380 120   5  54  51  31   8 3118 900  92 444 419 240American	West	LF	              237   8   1 600.000
Wilson, Glenn	Philadelphia	                       584 158  15  70  84  42   5 2358 636  58 265 316 134National	East	RF	              331  20   4 662.500
Baines, Harold	Chicago	                           570 169  21  72  88  38   7 37541077 140 492 589 263American	West	RF	              295  15   5 950.000
Brooks, Hubie	Montreal	                           306 104  14  50  58  25   7 2954 822  55 313 377 187National	East	SS	              116 222  15 750.000
Johnson, Howard	New York	                         220  54  10  30  39  31   5 1185 299  40 145 154 128National	East	3S	               50 136  20 297.500
McRae, Hal	Kansas City	                           278  70   7  22  37  18  18 71862081 190 9351088 643American	West	DH	                0   0   0 325.000
Reynolds, Harold	Seattle	                         445  99   1  46  24  29   4  618 129   1  72  31  48American	West	2B	              278 415  16  87.500
Spilman, Harry	San Francisco	                     143  39   5  18  30  15   9  639 151  16  80  97  61National	West	1B	              138  15   1 175.000
Winningham, Herm	Montreal	                        185  40   4  23  11  18   3  524 125   7  58  37  47National	East	OF	               97   2   2  90.000
Barfield, Jesse	Toronto	                          589 170  40 107 108  69   6 2325 634 128 371 376 238American	East	RF	              368  20   31237.500
Beniquez, Juan	Baltimore	                         343 103   6  48  36  40  15 43381193  70 581 421 325American	East	UT	              211  56  13 430.000
Bonilla, Juan	Baltimore	                          284  69   1  33  18  25   5 1407 361   6 139  98 111American	East	2B	              122 140   5    .   
Cangelosi, John	Chicago	                          438 103   2  65  32  71   2  440 103   2  67  32  71American	West	LF	              276   7   9 100.000
Canseco, Jose	Oakland	                            600 144  33  85 117  65   2  696 173  38 101 130  69American	West	LF	              319   4  14 165.000
Carter, Joe	Cleveland	                            663 200  29 108 121  32   4 1447 404  57 210 222  68American	East	RF	              241   8   6 250.000
Clark, Jack	St Louis	                             232  55   9  34  23  45  12 44051213 194 702 705 625National	East	1B	              623  35   31300.000
Cruz, Jose	Houston	                               479 133  10  48  72  55  17 74722147 153 9801032 854National	West	LF	              237   5   4 773.333
Cruz, Julio	Chicago	                              209  45   0  38  19  42  10 3859 916  23 557 279 478American	West	2B	              132 205   5    .   
Davis, Jody	Chicago	                              528 132  21  61  74  41   6 2641 671  97 273 383 226National	East	C	               885 105   81008.333
Dwyer, Jim	Baltimore	                             160  39   8  18  31  22  14 2128 543  56 304 268 298American	East	DO	               33   3   0 275.000
Franco, Julio	Cleveland	                          599 183  10  80  74  32   5 2482 715  27 330 326 158American	East	SS	              231 374  18 775.000
Gantner, Jim	Milwaukee	                           497 136   7  58  38  26  11 38711066  40 450 367 241American	East	2B	              304 347  10 850.000
Grubb, Johnny	Detroit	                            210  70  13  32  51  28  15 40401130  97 544 462 551American	East	DH	                0   0   0 365.000
Hairston, Jerry	Chicago	                          225  61   5  32  26  26  11 1568 408  25 202 185 257American	West	UT	              132   9   0    .   
Howell, Jack	California	                          151  41   4  26  21  19   2  288  68   9  45  39  35American	West	3B	               28  56   2  95.000
Kruk, John	San Diego	                             278  86   4  33  38  45   1  278  86   4  33  38  45National	West	LF	              102   4   2 110.000
Leonard, Jeffrey	San Francisco	                   341  95   6  48  42  20  10 2964 808  81 379 428 221National	West	LF	              158   4   5 100.000
Morrison, Jim	Pittsburgh	                         537 147  23  58  88  47  10 2744 730  97 302 351 174National	East	3B	               92 257  20 277.500
Moses, John	Seattle	                              399 102   3  56  34  34   5  670 167   4  89  48  54American	West	CF	              211   9   3  80.000
Mumphrey, Jerry	Chicago	                          309  94   5  37  32  26  13 46181330  57 616 522 436National	East	OF	              161   3   3 600.000
Orsulak, Joe	Pittsburgh	                          401 100   2  60  19  28   4  876 238   2 126  44  55National	East	RF	              193  11   4    .   
Orta, Jorge	Kansas City	                          336  93   9  35  46  23  15 57791610 128 730 741 497American	West	DH	                0   0   0    .   
Presley, Jim	Seattle	                             616 163  27  83 107  32   3 1437 377  65 181 227  82American	West	3B	              110 308  15 200.000
Quirk, Jamie	Kansas City	                         219  47   8  24  26  17  12 1188 286  23 100 125  63American	West	CS	              260  58   4    .   
Ray, Johnny	Pittsburgh	                           579 174   7  67  78  58   6 3053 880  32 366 337 218National	East	2B	              280 479   5 657.000
Reed, Jeff	Minneapolis	                           165  39   2  13   9  16   3  196  44   2  18  10  18American	West	C	               332  19   2  75.000
Rice, Jim	Boston	                                 618 200  20  98 110  62  13 71272163 35111041289 564American	East	LF	              330  16   82412.500
Royster, Jerry	San Diego	                         257  66   5  31  26  32  14 3910 979  33 518 324 382National	West	UT	               87 166  14 250.000
Russell, John	Philadelphia	                       315  76  13  35  60  25   3  630 151  24  68  94  55National	East	C	               498  39  13 155.000
Samuel, Juan	Philadelphia	                        591 157  16  90  78  26   4 2020 541  52 310 226  91National	East	2B	              290 440  25 640.000
Shelby, John	Baltimore	                           404  92  11  54  49  18   6 1354 325  30 188 135  63American	East	OF	              222   5   5 300.000
Skinner, Joel	Chicago	                            315  73   5  23  37  16   4  450 108   6  38  46  28American	West	C	               227  15   3 110.000
Stone, Jeff	Philadelphia	                         249  69   6  32  19  20   4  702 209  10  97  48  44National	East	OF	              103   8   2    .   
Sundberg, Jim	Kansas City	                        429  91  12  41  42  57  13 55901397  83 578 579 644American	West	C	               686  46   4 825.000
Traber, Jim	Baltimore	                            212  54  13  28  44  18   2  233  59  13  31  46  20American	East	UT	              243  23   5    .   
Uribe, Jose	San Francisco	                        453 101   3  46  43  61   3  948 218   6  96  72  91National	West	SS	              249 444  16 195.000
Willard, Jerry	Oakland	                           161  43   4  17  26  22   3  707 179  21  77  99  76American	West	C	               300  12   2    .   
Youngblood, Joel	San Francisco	                   184  47   5  20  28  18  11 3327 890  74 419 382 304National	West	OF	               49   2   0 450.000
Bass, Kevin	Houston	                              591 184  20  83  79  38   5 1689 462  40 219 195  82National	West	RF	              303  12   5 630.000
Daniels, Kal	Cincinnati	                          181  58   6  34  23  22   1  181  58   6  34  23  22National	West	OF	               88   0   3  86.500
Gibson, Kirk	Detroit	                             441 118  28  84  86  68   8 2723 750 126 433 420 309American	East	RF	              190   2   21300.000
Griffey, Ken	New York	                            490 150  21  69  58  35  14 61261839 121 983 707 600American	East	OF	               96   5   31000.000
Hernandez, Keith	New York	                        551 171  13  94  83  94  13 60901840 128 969 900 917National	East	1B	             1199 149   51800.000
Hrbek, Kent	Minneapolis	                          550 147  29  85  91  71   6 2816 815 117 405 474 319American	West	1B	             1218 104  101310.000
Landreaux, Ken	Los Angeles	                       283  74   4  34  29  22  10 39191062  85 505 456 283National	West	OF	              145   5   7 737.500
McReynolds, Kevin	San Diego	                      560 161  26  89  96  66   4 1789 470  65 233 260 155National	West	CF	              332   9   8 625.000
Mitchell, Kevin	New York	                         328  91  12  51  43  33   2  342  94  12  51  44  33National	East	OS	              145  59   8 125.000
Moreland, Keith	Chicago	                          586 159  12  72  79  53   9 3082 880  83 363 477 295National	East	RF	              181  13   41043.333
Oberkfell, Ken	Atlanta	                           503 136   5  62  48  83  10 3423 970  20 408 303 414National	West	3B	               65 258   8 725.000
Phelps, Ken	Seattle	                              344  85  24  69  64  88   7  911 214  64 150 156 187American	West	DH	                0   0   0 300.000
Puckett, Kirby	Minneapolis	                       680 223  31 119  96  34   3 1928 587  35 262 201  91American	West	CF	              429   8   6 365.000
Stillwell, Kurt	Cincinnati	                       279  64   0  31  26  30   1  279  64   0  31  26  30National	West	SS	              107 205  16  75.000
Durham, Leon	Chicago	                             484 127  20  66  65  67   7 3006 844 116 436 458 377National	East	1B	             1231  80   71183.333
Dykstra, Len	New York	                            431 127   8  77  45  58   2  667 187   9 117  64  88National	East	CF	              283   8   3 202.500
Herndon, Larry	Detroit	                           283  70   8  33  37  27  12 44791222  94 557 483 307American	East	OF	              156   2   2 225.000
Lacy, Lee	Baltimore	                              491 141  11  77  47  37  15 42911240  84 615 430 340American	East	RF	              239   8   2 525.000
Matuszek, Len	Los Angeles	                        199  52   9  26  28  21   6  805 191  30 113 119  87National	West	O1	              235  22   5 265.000
Moseby, Lloyd	Toronto	                            589 149  21  89  86  64   7 3558 928 102 513 471 351American	East	CF	              371   6   6 787.500
Parrish, Lance	Detroit	                           327  84  22  53  62  38  10 42731123 212 577 700 334American	East	C	               483  48   6 800.000
Parrish, Larry	Texas	                             464 128  28  67  94  52  13 58291552 210 740 840 452American	West	DH	                0   0   0 587.500
Rivera, Luis	Montreal	                            166  34   0  20  13  17   1  166  34   0  20  13  17National	East	SS	               64 119   9    .   
Sheets, Larry	Baltimore	                          338  92  18  42  60  21   3  682 185  36  88 112  50American	East	DH	                0   0   0 145.000
Smith, Lonnie	Kansas City	                        508 146   8  80  44  46   9 3148 915  41 571 289 326American	West	LF	              245   5   9    .   
Whitaker, Lou	Detroit	                            584 157  20  95  73  63  10 47041320  93 724 522 576American	East	2B	              276 421  11 420.000
Aldrete, Mike	San Francisco	                      216  54   2  27  25  33   1  216  54   2  27  25  33National	West	1O	              317  36   1  75.000
Barrett, Marty	Boston	                            625 179   4  94  60  65   5 1696 476  12 216 163 166American	East	2B	              303 450  14 575.000
Brown, Mike	Pittsburgh	                           243  53   4  18  26  27   4  853 228  23 101 110  76National	East	OF	              107   3   3    .   
Davis, Mike	Oakland	                              489 131  19  77  55  34   7 2051 549  62 300 263 153American	West	RF	              310   9   9 780.000
Diaz, Mike	Pittsburgh	                            209  56  12  22  36  19   2  216  58  12  24  37  19National	East	O1	              201   6   3  90.000
Duncan, Mariano	Los Angeles	                      407  93   8  47  30  30   2  969 230  14 121  69  68National	West	SS	              172 317  25 150.000
Easler, Mike	New York	                            490 148  14  64  78  49  13 34001000 113 445 491 301American	East	DH	                0   0   0 700.000
Fitzgerald, Mike	Montreal	                        209  59   6  20  37  27   4  884 209  14  66 106  92National	East	C	               415  35   3    .   
Hall, Mel	Cleveland	                              442 131  18  68  77  33   6 1416 398  47 210 203 136American	East	LF	              233   7   7 550.000
Hatcher, Mickey	Minneapolis	                      317  88   3  40  32  19   8 2543 715  28 269 270 118American	West	UT	              220  16   4    .   
Heath, Mike	St Louis	                             288  65   8  30  36  27   9 2815 698  55 315 325 189National	East	C	               259  30  10 650.000
Kingery, Mike	Kansas City	                        209  54   3  25  14  12   1  209  54   3  25  14  12American	West	OF	              102   6   3  68.000
LaValliere, Mike	St Louis	                        303  71   3  18  30  36   3  344  76   3  20  36  45National	East	C	               468  47   6 100.000
Marshall, Mike	Los Angeles	                       330  77  19  47  53  27   6 1928 516  90 247 288 161National	West	RF	              149   8   6 670.000
Pagliarulo, Mike	New York	                        504 120  28  71  71  54   3 1085 259  54 150 167 114American	East	3B	              103 283  19 175.000
Salas, Mark	Minneapolis	                          258  60   8  28  33  18   3  638 170  17  80  75  36American	West	C	               358  32   8 137.000
Schmidt, Mike	Philadelphia	                       552 160  37  97 119  89  15 72921954 495134713921354National	East	3B	               78 220   62127.333
Scioscia, Mike	Los Angeles	                       374  94   5  36  26  62   7 1968 519  26 181 199 288National	West	C	               756  64  15 875.000
Tettleton, Mickey	Oakland	                        211  43  10  26  35  39   3  498 116  14  59  55  78American	West	C	               463  32   8 120.000
Thompson, Milt	Philadelphia	                      299  75   6  38  23  26   3  580 160   8  71  33  44National	East	CF	              212   1   2 140.000
Webster, Mitch	Montreal	                          576 167   8  89  49  57   4  822 232  19 132  83  79National	East	CF	              325  12   8 210.000
Wilson, Mookie	New York	                          381 110   9  61  45  32   7 3015 834  40 451 249 168National	East	OF	              228   7   5 800.000
Wynne, Marvell	San Diego	                         288  76   7  34  37  15   4 1644 408  16 198 120 113National	West	OF	              203   3   3 240.000
Young, Mike	Baltimore	                            369  93   9  43  42  49   5 1258 323  54 181 177 157American	East	LF	              149   1   6 350.000
Esasky, Nick	Cincinnati	                          330  76  12  35  41  47   4 1367 326  55 167 198 167National	West	1B	              512  30   5    .   
Guillen, Ozzie	Chicago	                           547 137   2  58  47  12   2 1038 271   3 129  80  24American	West	SS	              261 459  22 175.000
McDowell, Oddibe	Texas	                           572 152  18 105  49  65   2  978 249  36 168  91 101American	West	CF	              325  13   3 200.000
Moreno, Omar	Atlanta	                             359  84   4  46  27  21  12 49921257  37 699 386 387National	West	RF	              151   8   5    .   
Smith, Ozzie	St Louis	                            514 144   0  67  54  79   9 47391169  13 583 374 528National	East	SS	              229 453  151940.000
Virgil, Ozzie	Atlanta	                            359  80  15  45  48  63   7 1493 359  61 176 202 175National	West	C	               682  93  13 700.000
